id,name,class,rarity,faction,row,damageRoot,subtags,bias
ASH-TNK-C01,Garrick Gatehouse Door,TNK,C,Emberguard,front,physical,,balanced
ASH-TNK-C02,Bram Coalhide,TNK,C,Emberguard,front,physical,,defense
ASH-TNK-R01,Sera Ironvow,TNK,R,Emberguard,front,physical,,defense
ASH-TNK-R02,Odo of the Ninth Wall,TNK,R,Choir,front,physical,,defense
ASH-TNK-R03,Kellan Vice,TNK,R,Freeblades,front,physical,,balanced
ASH-TNK-E01,Vashti Bulwark of Glass,TNK,E,Hollowed,front,magical,arcane,defense
ASH-TNK-E02,Morholt Gravemantle,TNK,E,Gravebound,front,physical,,defense
ASH-TNK-E03,Sigrun Aegisdottir,TNK,E,Freeblades,front,physical,,offense
ASH-TNK-L01,Roland the Last Rampart,TNK,L,Choir,front,physical,holy,defense
ASH-TNK-L02,Kaela Nightwarden,TNK,L,Hollowed,front,magical,shadow,balanced
ASH-ASN-C01,Whisper,ASN,C,Freeblades,back,physical,bleed,balanced
ASH-ASN-C02,Ratchet Anna,ASN,C,Emberguard,back,physical,,offense
ASH-ASN-R01,Vesk Halfsmile,ASN,R,Freeblades,back,physical,bleed,speed
ASH-ASN-R02,Mireille Threadcut,ASN,R,Freeblades,back,physical,,balanced
ASH-ASN-R03,Joss Emberknife,ASN,R,Freeblades,back,physical,bleed,offense
ASH-ASN-E01,Nyx Serrata,ASN,E,Hollowed,back,physical,bleed,offense
ASH-ASN-E02,Cassian Veil,ASN,E,Freeblades,back,physical,,speed
ASH-ASN-E03,Ten-Knives Orla,ASN,E,Freeblades,back,physical,bleed,balanced
ASH-ASN-L01,The Hollow Smile,ASN,L,Hollowed,back,physical,bleed,balanced
ASH-ASN-L02,Seraphine Redveil,ASN,L,Hollowed,back,physical,bleed,offense
ASH-RNG-C01,Fletch,RNG,C,Emberguard,back,physical,pierce,balanced
ASH-RNG-C02,Marta Longwatch,RNG,C,Emberguard,back,physical,,balanced
ASH-RNG-R01,Corvo Hexlock,RNG,R,Choir,back,physical,pierce,balanced
ASH-RNG-R02,Brenna Two-Strings,RNG,R,Freeblades,back,physical,,speed
ASH-RNG-R03,Silent Aldous,RNG,R,Freeblades,back,physical,pierce,offense
ASH-RNG-E01,Yara Stormfletch,RNG,E,Freeblades,back,physical,,balanced
